"Viral_contig"	"pvalue"	"R2"	"fdr"
"136"	"H01_contig_461_pilon"	0.398	0.0102591220281546	0.997
"137"	"DC23_NODE_9"	0.971	-0.234874915408642	0.997
"138"	"S06_contig-120_0"	0.684	-0.038079987949634	0.997
"139"	"NCF033_contig-120_3"	0.996	-0.171461459727251	0.997
"140"	"SK02_contig_368_pilon"	0.662	-0.0252387512797923	0.997
"141"	"H13_contig_82_pilon"	0.111	0.0535624941443186	0.95973417721519
"142"	"H01_scaffold_1090_pilon"	0.868	-0.123099025478635	0.997
"143"	"DC16_contig_110_pilon"	0.652	-0.0173694675186405	0.997
"144"	"SK44_contig_219_pilon"	0.12	0.054370255867002	0.95973417721519
"145"	"SK20_contig_621_pilon"	0.824	-0.078584268272432	0.997
"146"	"SK54_contig_312_pilon"	0.117	0.206970448751857	0.95973417721519
"147"	"H28_NODE_20"	0.589	-0.0321259366859996	0.997
"148"	"H22_contig_65_pilon"	0.808	-0.0379484898163974	0.997
"149"	"H46_contig_206_pilon"	0.4	0.0158953561955335	0.997
"150"	"NC152_NODE_13"	0.989	-0.326679303888282	0.997
"151"	"H34_contig_394_pilon"	0.331	0.0236397895513008	0.997
"152"	"QM01_contig_99"	0.702	-0.027423235190367	0.997
"153"	"SK44_contig_237_pilon"	0.653	-0.0175246334231896	0.997
"154"	"A09_contig_234_pilon"	0.331	0.0166268136668548	0.997
"155"	"H48_NODE_25"	0.003	0.527921964790582	0.5715
"156"	"SK02_contig_367_pilon"	0.19	0.0431679168630943	0.95973417721519
"157"	"NC317_contig_169_pilon"	0.382	0.0275668560066728	0.997
"158"	"QM01_contig_75"	0.126	0.14979566316961	0.95973417721519
"159"	"H16_contig_298_pilon"	0.269	0.0304826638798798	0.997
"160"	"SK54_contig_242_pilon"	0.727	-0.0284651334047344	0.997
"161"	"H09_contig-120_179"	0.561	-0.0353684725510046	0.997
"162"	"QM01_contig_26"	0.488	-0.000147436662151971	0.997
"163"	"SK20_contig_371_pilon"	0.426	0.0280551545385622	0.997
"164"	"H49_contig_174_pilon"	0.351	0.0284605274519097	0.997
"165"	"H13_NODE_12"	0.112	0.305533816256415	0.95973417721519
"166"	"NC323_contig-120_4"	0.78	-0.118960294926639	0.997
"167"	"DC26_NODE_2"	0.91	-0.179675385070406	0.997
"168"	"A107_NODE_2"	0.622	-0.0482103026208652	0.997
"169"	"H02_NODE_7"	0.687	-0.0600066304663576	0.997
"170"	"SK02_contig_38_pilon"	0.035	0.0627797791609826	0.9525
"171"	"H27_NODE_3"	0.851	-0.186482738581976	0.997
