	A01	A02	A08	A09	A107	A11	A13	A16	B03	B13	DC05	DC13	DC16	DC23	DC25	DC26	DC27	H01	H02	H03	H04	H11	H12	H13	H16	H19	H22	H23	H24	H27	H28	H31	H32	H34	H46	H47	H48	H49	H50	H54	H60	H63	H65	H69	H73	NC150	NC151	NC152	NC159	NC173	NC183	NC185	NC201	NC210	NC307	NC308	NC317	NC318	NC326	NCF004	NCF026	NCF041	NCF044	NCF051	NCF055	NCF106	NCF168	NCF171	NN0897	QM01	QM03	QM04	QM07	S02	S05	S08	S11	SK02	SK03	SK08	SK11	SK12	SK14	SK20	SK22	SK27	SK43	SK44	SK51	SK54	SK56
A01_contig_275_pilon	0.0			0.0	0.0022792226115562			0.0	0.0							0.0066680443755423					0.0023467503363839					0.0		0.0011285194762519						0.0011070588206663					0.0709533429617701										0.0								0.0011080123871728		0.0	0.0102400969960629	0.0011368856143715		0.0045770474905655	0.0010673834554281	0.0		0.0				0.0049887552144799			0.0						0.0				0.0042395313840589		0.0	0.0143587174822549		0.0		
A01_contig_277_pilon	0.0							0.0	0.0			0.0	0.0		0.0						0.0										0.0												0.0			0.0	0.0																0.0							0.0					0.0													0.0	0.0	0.0	
A01_contig_279_pilon	0.0							0.0																																																																																	0.0		
A01_contig_280_pilon	0.1883008221238603							0.0544330232235245																																																	0.0										0.1720316142933779																								
A01_contig_282_pilon	74.57349810596197							6.066707856467788																																																																																			
A01_contig_283_pilon	0.0230863602999516	0.0	0.0	0.0		0.0015483258508627		0.0091346064473925	0.0		0.0		0.0					0.0		0.0			0.0				0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0		0.0		0.0		0.0	0.0		0.0076043273576537	0.0		0.0		0.0		0.0		0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.38863425468682	0.0	
A01_contig_284_pilon	0.0							0.0																				0.0				0.0480100007939669																																																									0.0		
A01_contig_285_pilon	0.7441570937056918							0.1287690756534297																																																				0.0																													0.0063128647809194		
A01_contig_287_pilon	17.330095456076762					1.2975676187799747		2.61451375619916		0.070241704344332								0.0450676371631766				0.0858771012470802		0.0148056905349148		0.0476974407105896								0.0057423838997279																	1.5299683178316346								0.1872079041239953	0.3401955173278424		0.0369616672174919							19.98954145404934																						
A01_contig_289_pilon	0.0031702029329553	0.004600741696825			0.0			0.0020069724824299		0.0										0.0575597902106086				0.0			0.0			0.0189066776557773		0.006811310757716						0.0031199982712649						0.0								0.0					0.0			0.0	0.0		0.0						0.0								0.0						0.0			0.0066733947403317					0.0
A01_contig_291_pilon	0.0							0.0																																																																							0.0										0.0		
A01_contig_293_pilon	0.0					0.0		0.0	0.0															0.0							0.0	0.0						0.0006917991430604																						0.0				0.0							0.0	0.0							0.0								0.0		0.0		
A01_contig_294_pilon	0.2916484861058403		0.0014051980435032	0.0			0.0	0.0450329320324876																							0.0								0.002497942225842											0.0					0.0							0.0																						0.0					0.0015086126302504		
A01_contig_296_pilon	0.0							0.0																																																															0.0	0.0																	0.0		
